name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Trincomalee, Sri Lanka",2015-01-01,30.2,24.7,26.5,36.3,24.7,28,24,86.4,3,100,12.5,rain,0,0,25.9,9.7,161.7,1009.4,41.5,20,220.6,19.1,8,,2015-01-01T06:19:28,2015-01-01T17:57:25,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-02,30.2,23.9,26.6,36.3,23.9,28.2,24,85.9,22,100,8.33,rain,0,0,18.7,10.1,109.1,1011.3,38.1,18.8,214.9,18.4,7,,2015-01-02T06:19:53,2015-01-02T17:57:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-03,29.9,24.4,26.4,36.4,24.4,28.1,24.1,87.3,0.1,100,4.17,rain,0,0,20.9,13.3,98.6,1012.3,75.7,20,228.6,19.6,8,,2015-01-03T06:20:17,2015-01-03T17:58:28,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-04,29.1,24.7,26.7,33.3,24.7,28.1,23.6,83.6,0.3,100,12.5,rain,0,0,22.3,13,50.6,1012,32.9,20,234.7,20.3,9,,2015-01-04T06:20:41,2015-01-04T17:59:00,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-05,28.7,24.9,26.4,33.5,24.9,27.6,23.6,85,1.2,100,41.67,rain,0,0,32,18.7,19.2,1011.5,38,20,204.4,17.8,7,,2015-01-05T06:21:04,2015-01-05T17:59:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-06,28.9,24.3,25.9,33.7,24.3,26.5,23.3,85.5,0.4,100,4.17,rain,0,0,31.7,17.6,22.1,1011.9,42.3,20,192.6,16.6,7,,2015-01-06T06:21:26,2015-01-06T18:00:03,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-07,28.2,23.9,25.9,30.9,23.9,26.4,22,79.3,0,0,0,,0,0,28.4,16.6,10.5,1012.3,38.7,21.3,228.6,19.8,8,,2015-01-07T06:21:47,2015-01-07T18:00:34,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-08,28.4,22.1,25.9,31.8,22.1,26.6,21.3,76,0,0,0,,0,0,24.5,14,44.7,1012.6,21.4,20,246.2,21.3,9,,2015-01-08T06:22:08,2015-01-08T18:01:06,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-09,29.2,23.9,25.9,32.1,23.9,26.4,21.4,76.3,0,0,0,,0,0,24.1,15.5,52.5,1013.6,19.7,20,249.3,21.6,8,,2015-01-09T06:22:27,2015-01-09T18:01:36,0.63,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-10,28.4,24.7,26,30.1,24.7,26.3,19.8,69,0,0,0,,0,0,34.6,20.9,34.6,1013.5,30.6,20,234,20.2,8,,2015-01-10T06:22:46,2015-01-10T18:02:07,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-11,27.7,23.7,25.9,30,23.7,26.2,18.8,65.1,0,0,0,,0,0,36.7,22.7,32.5,1013.1,67.5,17.8,170.1,14.5,6,,2015-01-11T06:23:04,2015-01-11T18:02:37,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-12,28.2,24.1,25.7,28.9,24.1,25.9,17.9,62.1,0,0,0,,0,0,30.2,19.1,25.5,1012.9,68.8,20,160.9,14,5,,2015-01-12T06:23:22,2015-01-12T18:03:07,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-13,28.2,20.7,25.5,30.1,20.7,25.9,19.8,71.2,0,0,0,,0,0,33.1,20.2,9.9,1012,50.5,20,209.3,18.1,7,,2015-01-13T06:23:38,2015-01-13T18:03:37,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-14,28.2,23.6,25.4,30.8,23.6,25.6,21.5,79.3,1.5,100,12.5,rain,0,0,34.2,21.2,30.1,1012,51.5,20,186.5,16,6,,2015-01-14T06:23:54,2015-01-14T18:04:07,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-15,28.2,22.4,25.9,30.6,22.4,26.6,21,75,0,0,0,,0,0,31.3,19.1,15,1012.2,36.9,20,214,18.6,8,,2015-01-15T06:24:08,2015-01-15T18:04:36,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-16,28.7,22.4,26,32.7,22.4,26.9,22.6,81.6,0.6,100,20.83,rain,0,0,28.1,16.6,26.6,1012.4,38.2,20,217.5,18.8,7,,2015-01-16T06:24:22,2015-01-16T18:05:04,0.86,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-17,29.2,24.8,26.4,33.3,24.8,27.5,22.7,80.4,0.6,100,20.83,rain,0,0,27,15.8,49.1,1012.7,36.7,20,229.4,19.8,9,,2015-01-17T06:24:35,2015-01-17T18:05:32,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-18,29.2,24.5,26.1,32.8,24.5,26.9,22.4,80.3,1.4,100,4.17,rain,0,0,35.6,20.9,30.6,1013.5,39.3,20,224.4,19.4,8,,2015-01-18T06:24:47,2015-01-18T18:06:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-19,28.4,24.6,25.8,30.9,24.6,26,21.1,75.6,0.1,100,4.17,rain,0,0,32.4,19.4,28,1013.3,49.8,20,246.7,21.3,9,,2015-01-19T06:24:58,2015-01-19T18:06:27,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-20,28.7,22.4,26,32,22.4,26.7,21.1,74.6,0,0,0,,0,0,28.8,18,31.2,1014.4,34.6,20,249,21.5,9,,2015-01-20T06:25:07,2015-01-20T18:06:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-21,28.7,24.5,25.9,31.6,24.5,26.3,21.8,78.3,0.9,100,29.17,rain,0,0,31.3,18,27.1,1015.8,27.3,20,242.2,20.9,9,,2015-01-21T06:25:16,2015-01-21T18:07:20,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-22,27.2,23.2,25.4,30.1,23.2,26,22.3,82.9,0.8,100,33.33,rain,0,0,25.9,16.2,33,1015.5,35.1,20,234.1,20.1,8,,2015-01-22T06:25:24,2015-01-22T18:07:46,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-23,29.2,23.4,25.9,33.9,23.4,26.5,23.3,85.7,2.2,100,54.17,rain,0,0,33.1,20.2,50.4,1013.3,61.3,20,201.2,17.3,7,,2015-01-23T06:25:31,2015-01-23T18:08:11,0.09,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-24,29.4,24.4,26.2,33.8,24.4,27.2,23.2,84,2.2,100,66.67,rain,0,0,36,22,53.3,1013,51.7,20,225.3,19.4,8,,2015-01-24T06:25:37,2015-01-24T18:08:36,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-01-25,28.4,24.4,25.9,31.3,24.4,26.3,22.5,82,2.6,100,4.17,rain,0,0,34.6,20.9,44.7,1014.2,48.9,20,212.8,18.4,8,,2015-01-25T06:25:42,2015-01-25T18:09:00,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43418099999"
