name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Trincomalee, Sri Lanka",2015-03-22,31.4,23.4,27.3,37.2,23.4,29.5,23.1,78.2,0,0,0,,0,0,23,13,77.3,1012.2,19.2,20,301.8,26,10,,2015-03-22T06:08:29,2015-03-22T18:15:52,0.06,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-23,32.9,23.7,27.4,38.4,23.7,29.1,23.3,79.3,0,0,0,,0,0,22.7,12.2,125.9,1010.9,4.4,20,311,26.8,10,,2015-03-23T06:07:57,2015-03-23T18:15:48,0.1,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-24,32.1,23.4,27.1,36.5,23.4,28.5,23,79.7,0,0,0,,0,0,24.8,14,120.9,1010.3,12.6,20,307.2,26.4,10,,2015-03-24T06:07:24,2015-03-24T18:15:44,0.13,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-25,32.7,23.4,27.5,38.9,23.4,29.6,22.9,77.1,0,0,0,,0,0,24.5,17.3,111.4,1010.8,8.8,20,298.7,25.7,10,,2015-03-25T06:06:52,2015-03-25T18:15:41,0.16,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-26,32.2,25.2,28.2,39.6,25.2,31.9,23.9,78.2,0.7,100,29.17,rain,0,0,34.6,20.5,86.9,1011.8,51.2,20,260.1,22.5,9,,2015-03-26T06:06:20,2015-03-26T18:15:37,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-27,28.7,24.7,26.6,34.8,24.7,28.4,24.5,88.4,49.7,100,16.67,rain,0,0,31.7,15.8,64.7,1012.3,66,18.6,239.7,20.6,9,,2015-03-27T06:05:47,2015-03-27T18:15:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-28,30.9,24.7,27.4,38.7,24.7,30.2,24.7,85.5,0.1,100,4.17,rain,0,0,32,18.7,75,1011.4,49,18.8,242.9,20.9,9,,2015-03-28T06:05:15,2015-03-28T18:15:29,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-29,31.4,25.4,27.7,39.6,25.4,31,24.7,83.9,3.7,100,12.5,rain,0,0,29.2,15.5,92.7,1010.2,62.2,20,251.2,21.8,9,,2015-03-29T06:04:43,2015-03-29T18:15:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-30,31.9,25.7,28.2,41.5,25.7,32.1,24.9,82.9,2.2,100,37.5,rain,0,0,30.6,18,106.4,1010,50.1,20,270.2,23.3,9,,2015-03-30T06:04:10,2015-03-30T18:15:21,0.33,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-31,31.9,25.4,28.2,41.3,25.4,32.1,24.9,82.7,1.1,100,29.17,rain,0,0,29.5,16.9,104.5,1010.3,53.6,20,247.9,21.5,8,,2015-03-31T06:03:38,2015-03-31T18:15:18,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-04-01,32.4,26.4,28.3,41.3,26.4,32.6,24.9,82,1.6,100,41.67,rain,0,0,31,16.6,116,1010.2,73.4,20,237.3,20.5,8,,2015-04-01T06:03:06,2015-04-01T18:15:14,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-04-02,32.4,25.2,28.2,40.6,25.2,31.6,24.5,80.9,1.6,100,20.83,rain,0,0,25.9,37.1,141.5,1009.9,82.6,20,263.1,22.6,9,,2015-04-02T06:02:34,2015-04-02T18:15:10,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-04-03,32.7,24.2,28.5,40.2,24.2,32.4,24.5,79.5,0.7,100,12.5,rain,0,0,21.2,11.5,158.4,1008.1,57.2,20,282.3,24.3,10,,2015-04-03T06:02:02,2015-04-03T18:15:07,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-04-04,33.2,25.7,29,43.3,25.7,33.4,24.8,78.8,0,0,0,,0,0,31.7,19.1,144.6,1006.3,62.4,20,300.4,25.8,10,,2015-04-04T06:01:31,2015-04-04T18:15:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-04-05,33.4,25.7,29,42.4,25.7,34,25,79.5,0,0,0,,0,0,26.6,18.4,122.5,1007,58.6,20,283.1,24.7,10,,2015-04-05T06:00:59,2015-04-05T18:15:00,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
