name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Polonnaruwa,2017-05-01,35.8,25.4,29.6,39.1,25.4,32.7,23.2,70.5,6.974,100,4.17,rain,0,0,23.8,12.2,110.8,1009.8,53,19.9,272.2,23.5,10,,2017-05-01T05:50:57,2017-05-01T18:15:15,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-02,35.4,24.5,29.4,39.1,24.5,32.3,23.1,71,18.024,100,16.67,rain,0,0,22.3,13,111.7,1010.7,33.4,20,282.3,24.5,10,,2017-05-02T05:50:39,2017-05-02T18:15:20,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-03,35.2,24.7,29.4,38.1,24.7,32.1,22.7,69.3,0.106,100,4.17,rain,0,0,23.8,12.6,100.4,1010.6,72.5,19.3,283.2,24.5,9,,2017-05-03T05:50:22,2017-05-03T18:15:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-04,36.3,25.4,30.1,41.3,25.4,34,23.7,70.3,1.587,100,4.17,rain,0,0,22.3,8.6,92.8,1010.4,33.8,19.7,288.8,25,10,,2017-05-04T05:50:05,2017-05-04T18:15:29,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-05,37.5,25.6,30.1,42.1,25.6,34.3,23.9,71.3,0.157,100,12.5,rain,0,0,29.9,10.1,118.6,1010.3,54.2,19.9,289.2,24.9,10,,2017-05-05T05:49:50,2017-05-05T18:15:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-06,36.8,25.4,29.1,43,25.4,32.8,24,75.1,12.433,100,12.5,rain,0,0,27.4,12.6,146.4,1011.2,64.1,19.6,252.6,21.7,9,,2017-05-06T05:49:34,2017-05-06T18:15:41,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-07,36.2,24.1,28.4,41.9,24.1,31,23.8,77.8,34.656,100,16.67,rain,0,0,22.7,10.4,297.2,1011.2,51.4,18.8,247.8,21.4,8,,2017-05-07T05:49:20,2017-05-07T18:15:47,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-08,35.1,24.3,28.4,41.5,24.3,31.4,24,79.1,2.6,100,12.5,rain,0,0,22.3,7.9,267,1010.1,56.3,19.9,279.8,24.2,9,,2017-05-08T05:49:06,2017-05-08T18:15:54,0.41,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-09,35.7,25.3,28.9,42.6,25.3,32.5,24.5,78.4,4.64,100,16.67,rain,0,0,28.4,10.8,245.1,1008.9,45.2,19.5,271.7,23.6,9,,2017-05-09T05:48:53,2017-05-09T18:16:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-05-10,35.8,25.5,29.4,41.8,25.5,33.4,24.2,75,2.977,100,12.5,rain,0,0,26.6,9.7,237.4,1008.8,58.5,20,273.1,23.6,9,,2017-05-10T05:48:40,2017-05-10T18:16:09,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
