name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Polonnaruwa,2019-02-01,29.6,22.1,25.7,35,22.1,27,22.6,83.3,0.084,100,4.17,rain,0,0,33.1,15.8,51.2,1013.4,37.9,20,201.6,17.6,7,,2019-02-01T06:25:53,2019-02-01T18:13:11,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-02,29.7,22.4,25.6,34.4,22.4,26.9,22.7,84.6,11.938,100,8.33,rain,0,0,31,13.7,33.5,1012.5,61.4,19.8,126.4,11,7,,2019-02-02T06:25:51,2019-02-02T18:13:29,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-03,29.4,23.4,25.8,35.1,23.4,27.1,23.6,88.1,7.569,100,20.83,rain,0,0,28.1,13.3,59.1,1013.2,81.7,19.9,152.6,13.2,5,,2019-02-03T06:25:48,2019-02-03T18:13:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-04,27.4,23.4,25,30.8,23.4,25.3,23.6,92.2,32.847,100,29.17,rain,0,0,31,13.3,68.1,1014.5,92.9,16.2,130.9,11.3,5,,2019-02-04T06:25:44,2019-02-04T18:14:03,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-05,28.6,23.5,25.1,32.9,23.5,25.8,23.6,91.6,20.165,100,29.17,rain,0,0,28.8,10.1,64.3,1014.6,95.7,18.6,136.2,11.7,6,,2019-02-05T06:25:39,2019-02-05T18:14:19,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-06,29.9,23,25.8,33.8,23,26.8,22.8,84.5,0.107,100,8.33,rain,0,0,34.2,15.8,52,1012.7,46,19.9,198.8,17.3,7,,2019-02-06T06:25:33,2019-02-06T18:14:35,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-07,31,22.1,26.2,35.5,22.1,27.7,22.8,82.6,0.2,100,8.33,rain,0,0,26.6,12.2,83.2,1012.4,44.3,20,197.2,17,7,,2019-02-07T06:25:26,2019-02-07T18:14:49,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-08,29.6,24.1,26.7,35.1,24.1,28.4,24.1,85.8,0.084,100,4.17,rain,0,0,25.9,11.5,103.1,1013,65.4,20,206.6,17.8,8,,2019-02-08T06:25:18,2019-02-08T18:15:03,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-09,30.2,23.8,26.1,36.5,23.8,27.6,24.1,89.1,19.809,100,20.83,rain,0,0,28.4,10.4,110.2,1013.3,61.2,18.5,229.3,20,8,,2019-02-09T06:25:09,2019-02-09T18:15:17,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-10,31.4,23.2,26.5,36.2,23.2,28,23.4,84.5,9.966,100,12.5,rain,0,0,22,10.8,63.2,1014.1,64.2,19.8,159.6,13.7,6,,2019-02-10T06:24:59,2019-02-10T18:15:29,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-11,30.4,23.1,26.6,34.1,23.1,27.8,22.7,80.1,0.4,100,16.67,rain,0,0,37.1,16.6,58.1,1014.1,29.5,20,237.3,20.6,8,,2019-02-11T06:24:49,2019-02-11T18:15:42,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-12,30,23.2,26.6,34.2,23.2,27.7,22.5,78.9,0.171,100,12.5,rain,0,0,43.9,21.6,58,1014.3,34,19.7,210.3,18.2,7,,2019-02-12T06:24:37,2019-02-12T18:15:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-13,30,24.1,26.8,34.1,24.1,28.1,22.5,77.7,0.169,100,4.17,rain,0,0,40.7,19.8,48.3,1015,39.7,19.8,211.5,18.3,7,,2019-02-13T06:24:25,2019-02-13T18:16:04,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-14,30.7,24.2,26.3,36.4,24.2,27.8,23.7,86,0.666,100,12.5,rain,0,0,32.8,13.7,61.9,1013.3,80.3,19.9,175.1,15,7,,2019-02-14T06:24:11,2019-02-14T18:16:14,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-15,30.1,23.6,26.5,35.7,23.6,28.3,23.9,86,0.471,100,12.5,rain,0,0,30.2,11.9,79.1,1013.5,61.4,20,184.1,16,8,,2019-02-15T06:23:57,2019-02-15T18:16:23,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-16,30.7,23.5,26.7,36.7,23.5,28.9,24.2,86.6,0.367,100,12.5,rain,0,0,27.7,13,108.1,1013.5,74.2,20,217.5,18.8,8,,2019-02-16T06:23:42,2019-02-16T18:16:32,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-17,32.6,22.4,27.3,38,22.4,29.8,23.6,81.7,0.2,100,8.33,rain,0,0,18.4,9,76.6,1012.4,77.2,20,228,19.8,9,,2019-02-17T06:23:27,2019-02-17T18:16:40,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-18,33.6,24.6,28,40.1,24.6,31,24.1,80.6,0,0,0,,0,0,19.8,7.6,122.2,1010.9,36.3,20,234.2,20.2,8,,2019-02-18T06:23:10,2019-02-18T18:16:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-19,31.8,23.4,27.6,37.2,23.4,30,23.5,79.6,0.2,100,8.33,rain,0,0,32.4,12.6,102.3,1011.6,31.6,20,240.4,20.6,9,,2019-02-19T06:22:53,2019-02-19T18:16:54,0.5,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-20,31.6,22.9,26.9,34.4,22.9,28,22.2,76.7,0.5,100,16.67,rain,0,0,34.6,16.2,83.8,1013.7,23.2,20,258.1,22.3,9,,2019-02-20T06:22:35,2019-02-20T18:17:00,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-21,31.4,22.6,26.3,34.5,22.6,27.1,22.4,80.2,0.348,100,8.33,rain,0,0,35.3,16.9,50.4,1014.8,40.8,20,216.7,18.9,8,,2019-02-21T06:22:16,2019-02-21T18:17:06,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2019-02-22,31,24.1,26.9,33.3,24.1,27.7,21.5,73.5,0.811,100,4.17,rain,0,0,32.4,14.4,61.5,1013.3,32.8,20,249.8,21.6,9,,2019-02-22T06:21:57,2019-02-22T18:17:11,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
