name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Anuradhapura,2015-01-01,31.1,24.1,26.8,36.5,24.1,28.4,23.8,84.1,0.533,100,12.5,rain,0,0,25.9,11.9,225.1,1009.9,58.2,20,195.3,16.8,8,,2015-01-01T06:22:19,2015-01-01T18:01:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-02,31.1,23,26.7,35.8,23,27.9,22.7,80.2,0,0,0,,0,0,22.7,9,215.2,1011.7,31.2,20,217.8,18.7,8,,2015-01-02T06:22:44,2015-01-02T18:01:37,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-03,31.7,22.2,26.9,36.1,22.2,28.3,22.9,80.3,11.959,100,8.33,rain,0,0,19.8,7.2,107.5,1012.5,68.2,18.8,234.5,20.2,8,,2015-01-03T06:23:08,2015-01-03T18:02:09,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-04,32.1,23.3,27,36.3,23.3,28.4,23,80,0.299,100,4.17,rain,0,0,21.6,11.9,70.2,1012.2,42.4,20,201.2,17.2,7,,2015-01-04T06:23:31,2015-01-04T18:02:40,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-05,31.2,22.4,26.3,36.8,22.4,27.8,23.1,83.6,0.7,100,20.83,rain,0,0,27.4,12.2,48,1011.8,33.1,18.8,188.9,16.3,6,,2015-01-05T06:23:54,2015-01-05T18:03:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-06,29.9,22.9,25.7,33,22.9,26.6,22.7,84.2,0.016,100,4.17,rain,0,0,29.9,12.2,41.4,1012.2,57.5,20,182.9,15.8,6,,2015-01-06T06:24:17,2015-01-06T18:03:43,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-07,30.2,21.9,25.5,32.4,21.9,26.3,21.4,79.6,0,0,0,,0,0,24.8,11.2,32.1,1012.4,36.9,20,235.2,20.4,8,,2015-01-07T06:24:38,2015-01-07T18:04:14,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-08,29.9,20.8,25.1,33.1,20.8,25.9,20.9,79.4,0,0,0,,0,0,27.4,11.2,60.5,1012.9,21.6,20,229.4,20,8,,2015-01-08T06:24:59,2015-01-08T18:04:45,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-09,30.4,20.7,25.1,32.7,20.7,25.8,20.8,78.6,0,0,0,,0,0,27,11.5,68.5,1013.6,18.8,20,246.4,21.4,8,,2015-01-09T06:25:19,2015-01-09T18:05:16,0.63,Clear,Clear conditions throughout the day.,clear-day,"43424099999,43421099999,43415099999,43422099999,remote"
Anuradhapura,2015-01-10,28.9,21.2,24.8,30.4,21.2,25.2,20.2,77.1,0,0,0,,0,0,36.7,16.9,49.9,1013.6,20.2,20,210.3,18.2,7,,2015-01-10T06:25:38,2015-01-10T18:05:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43424099999,43421099999,43415099999,43422099999,remote"
