name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Polonnaruwa,2017-01-01,29.7,22.9,25.6,33.8,22.9,26.5,22.5,83.9,0.477,100,12.5,rain,0,0,32.4,14,45.7,1011.9,70.4,20,201.1,17.4,8,,2017-01-01T06:19:26,2017-01-01T17:59:38,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-02,29,22.5,25.2,34,22.5,26,23,88.1,2.025,100,20.83,rain,0,0,33.1,14,6.3,1012.2,82.6,19.7,173.1,15,7,,2017-01-02T06:19:51,2017-01-02T18:00:09,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-03,29.3,23.3,25.8,33.1,23.3,26.9,22.5,82.7,0.895,100,4.17,rain,0,0,34.2,14.4,17,1012.2,68.1,20,211.4,18.3,7,,2017-01-03T06:20:15,2017-01-03T18:00:40,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-04,29.5,21.6,24.9,31.9,21.6,25.4,20.7,79,0,0,0,,0,0,25.2,11.2,5.9,1012.2,66.1,20,236,20.4,9,,2017-01-04T06:20:38,2017-01-04T18:01:12,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-05,29.7,18.5,24,31.1,18.5,24.4,19.4,77.4,0,0,0,,0,0,25.9,11.2,12.5,1011.8,19.9,20,259.8,22.6,9,,2017-01-05T06:21:01,2017-01-05T18:01:43,0.25,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-06,29.6,18.3,23.9,31.1,18.3,24.2,19.6,78.5,0,0,0,,0,0,27,13,20.7,1011.5,52.7,20,190,16.4,8,,2017-01-06T06:21:23,2017-01-06T18:02:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-07,29,19.9,24.1,29.6,19.9,24.3,19,75.4,0.069,100,4.17,rain,0,0,29.9,13.3,24.9,1010.7,30.2,19.7,266.5,23,9,,2017-01-07T06:21:45,2017-01-07T18:02:45,0.32,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-08,29,18.2,23.5,29.7,18.2,23.8,18.3,74.6,0,0,0,,0,0,22.7,9.7,19.9,1010.1,32.4,19.9,219.5,18.9,8,,2017-01-08T06:22:05,2017-01-08T18:03:15,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-09,30.2,18,24,31.9,18,24.4,18.8,74.5,0,0,0,,0,0,21.2,10.1,8.9,1010.2,27.4,20,252.8,21.8,8,,2017-01-09T06:22:25,2017-01-09T18:03:46,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-10,29.6,19.8,24.3,30.8,19.8,24.8,19.7,77.3,0,0,0,,0,0,20.9,9.4,18.5,1010.9,17.8,20,263.5,22.8,9,,2017-01-10T06:22:44,2017-01-10T18:04:16,0.42,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-11,29.8,19,23.4,30.6,19,23.7,19.1,79.4,0,0,0,,0,0,25.2,10.4,36.7,1011.4,42.6,19.9,256.8,22.1,9,,2017-01-11T06:23:02,2017-01-11T18:04:45,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-12,29.3,17.1,23.7,30.4,17.1,24.1,19.1,77.3,0,0,0,,0,0,25.2,10.1,82.9,1010.9,43.6,20,256.8,22.1,9,,2017-01-12T06:23:20,2017-01-12T18:05:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-01-13,29.4,19,24,30,19,24.2,18.7,74.6,0,0,0,,0,0,34.2,15.1,61,1011,34.9,20,260.6,22.5,9,,2017-01-13T06:23:36,2017-01-13T18:05:44,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
