name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Polonnaruwa,2015-01-01,31.4,23.4,26.8,35.7,23.4,28.5,23.9,85,7.763,100,20.83,rain,0,0,20.9,6.9,247.7,1009.5,45.8,19.1,210.4,18.2,8,,2015-01-01T06:19:15,2015-01-01T17:59:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-02,30.8,23.1,26.7,35.6,23.1,28.2,23.4,83.2,4.878,100,8.33,rain,0,0,18.7,8.3,319.8,1011.4,44.3,19.2,213.4,18.5,7,,2015-01-02T06:19:40,2015-01-02T17:59:54,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-03,31.6,23.6,26.8,36,23.6,28.4,23.5,83.3,2.989,100,8.33,rain,0,0,18.7,10.8,93.3,1012.4,69.7,19.7,237.6,20.6,8,,2015-01-03T06:20:04,2015-01-03T18:00:26,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-04,31.8,23,26.8,35.8,23,28.2,23.1,81.3,0.075,100,4.17,rain,0,0,19.1,10.4,63.3,1012.1,39.8,20,219.5,19,8,,2015-01-04T06:20:28,2015-01-04T18:00:57,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-05,31.1,22.8,26.2,37.9,22.8,27.9,23.5,86,0.237,100,8.33,rain,0,0,27.4,13.3,33.7,1011.6,43.8,19.7,192.4,16.4,7,,2015-01-05T06:20:51,2015-01-05T18:01:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-06,28.5,22.5,25.4,32.3,22.5,26.1,22.9,86.4,1.378,100,25,rain,0,0,28.4,14,27.5,1012,58,19.7,167.9,14.5,6,,2015-01-06T06:21:13,2015-01-06T18:01:59,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-07,30.2,22.5,25.5,32.4,22.5,26.2,21.6,80.9,0.1,100,4.17,rain,0,0,23.4,11.5,14.1,1012.3,43.3,20.4,231,20.2,8,,2015-01-07T06:21:35,2015-01-07T18:02:30,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-08,29.9,20.3,24.9,32.5,20.3,25.7,21.3,81.9,0,0,0,,0,0,22,9.4,48,1012.8,30.4,19.8,232.7,20.1,9,,2015-01-08T06:21:56,2015-01-08T18:03:01,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-09,29.8,21.4,25,31.8,21.4,25.7,21.1,80.4,0,0,0,,0,0,22,9.7,69,1013.5,28.3,20,241.9,21,8,,2015-01-09T06:22:16,2015-01-09T18:03:31,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2015-01-10,29,22,25,31,22,25.4,20.4,76.5,0,0,0,,0,0,31.3,14.8,44.2,1013.5,27.6,20,215.4,18.7,8,,2015-01-10T06:22:36,2015-01-10T18:04:02,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
