date,code,usdprice
#date,#meta+code,#value+usd
2020-01-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.57
2020-02-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.51
2020-03-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-04-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-05-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-06-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-07-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.48
2020-08-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.5
2020-09-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-10-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2020-10-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2021-01-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.53
2021-02-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.48
2021-03-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2021-04-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-Wholesale-LKR,0.49
2004-01-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-02-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-03-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-04-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-04-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-05-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-06-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.26
2004-07-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.26
2004-08-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.26
2004-08-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.26
2004-09-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-10-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-10-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2004-11-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.28
2004-11-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.28
2004-12-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.32
2005-01-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.36
2005-02-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-02-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-03-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2005-04-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2005-05-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.31
2005-06-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.28
2005-07-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.27
2005-08-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-08-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-09-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-09-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.29
2005-10-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.3
2005-11-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.3
2006-01-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.3
2006-02-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.3
2006-03-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.31
2006-03-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.31
2006-04-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.34
2006-05-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2006-06-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2006-07-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2006-07-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.33
2006-08-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.34
2006-09-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.36
2006-10-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.37
2006-11-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.37
2006-12-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.37
2006-12-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.37
2007-01-15,Western-Colombo-Colombo City-Wheat flour-KG-Retail-LKR,0.37
